24/1/2019 9:01:27 AM : **********************************************
24/1/2019 9:01:27 AM : -------Service Start-------
24/1/2019 9:01:27 AM : DateTime: 24/1/2019 9:01:27 AM
24/1/2019 9:01:37 AM : ----------------------------------------------
24/1/2019 9:01:37 AM : ...Started Reading Videos...
24/1/2019 9:01:37 AM : ----------------------------------------------
24/1/2019 9:01:39 AM : 1: 
24/1/2019 9:01:39 AM : 2: SP-AU001
24/1/2019 9:01:39 AM : 3: SP-FD001
24/1/2019 9:01:39 AM : 4: SS-BC001
24/1/2019 9:01:39 AM : 5: SS-BC002
24/1/2019 9:01:39 AM : 6: SP-HC001
24/1/2019 9:01:39 AM : 7: SS-SP001
24/1/2019 9:01:39 AM : 8: 
24/1/2019 9:01:39 AM : 9: 
24/1/2019 9:01:39 AM : 10: SS-BU001
24/1/2019 9:01:39 AM : 11: SS-SS001
24/1/2019 9:01:39 AM : 12: SS-BP001
24/1/2019 9:01:39 AM : 13: SP-TT001
24/1/2019 9:01:39 AM : 14: SP-HC002
24/1/2019 9:01:39 AM : 15: SC-EB001
24/1/2019 9:01:39 AM : 16: SC-SN001
24/1/2019 9:01:39 AM : 17: SP-FP001
24/1/2019 9:01:39 AM : 18: SP-GV001
24/1/2019 9:01:39 AM : 19: SP-OT001
24/1/2019 9:01:39 AM : 20: SS-BR001
24/1/2019 9:01:39 AM : 21: SS-DT001
24/1/2019 9:01:39 AM : 22: SS-MV001
24/1/2019 9:01:39 AM : 23: SS-SV001
24/1/2019 9:01:39 AM : 24: SS-YM001
24/1/2019 9:01:39 AM : 25: SP-BA001
24/1/2019 9:01:39 AM : 26: SS-SS002
24/1/2019 9:01:39 AM : 27: SP-FD002
24/1/2019 9:01:39 AM : 28: SS-SV002
24/1/2019 9:01:39 AM : 29: SS-YM002
24/1/2019 9:01:39 AM : 30: SP-BN001
24/1/2019 9:01:39 AM : 31: SP-BN002
24/1/2019 9:01:39 AM : 32: SS-SV003
24/1/2019 9:01:39 AM : 33: SP-AU002
24/1/2019 9:01:39 AM : 34: SP-FD003
24/1/2019 9:01:39 AM : 35: SP-RT001
24/1/2019 9:01:39 AM : 36: SP-BW001
24/1/2019 9:01:39 AM : 37: 
24/1/2019 9:01:39 AM : 38: SC-SN002
24/1/2019 9:01:39 AM : 39: SC-SB001
24/1/2019 9:01:39 AM : 40: SC-SB002
24/1/2019 9:01:39 AM : 41: SP-BN003
24/1/2019 9:01:39 AM : 42: SP-FD004
24/1/2019 9:01:39 AM : 43: SP-FP002
24/1/2019 9:01:39 AM : 44: SP-FP003
24/1/2019 9:01:39 AM : 45: SP-IT001
24/1/2019 9:01:39 AM : 46: SS-AB001
24/1/2019 9:01:39 AM : 47: SS-AB002
24/1/2019 9:01:39 AM : 48: SS-AB003
24/1/2019 9:01:39 AM : 49: SS-BP002
24/1/2019 9:01:39 AM : 50: SS-BS001
24/1/2019 9:01:39 AM : 51: SS-BU002
24/1/2019 9:01:39 AM : 52: SS-BU003
24/1/2019 9:01:39 AM : 53: SS-BU004
24/1/2019 9:01:39 AM : 54: SS-MV002
24/1/2019 9:01:39 AM : 55: SP-BA002
24/1/2019 9:01:39 AM : 56: SP-FP004
24/1/2019 9:01:39 AM : 57: SP-IT002
24/1/2019 9:01:39 AM : 58: SP-ME001
24/1/2019 9:01:39 AM : 59: SS-BP003
24/1/2019 9:01:39 AM : 60: SS-BR002
24/1/2019 9:01:39 AM : 61: SS-BS002
24/1/2019 9:01:39 AM : 62: SS-DT002
24/1/2019 9:01:39 AM : 63: SS-MV003
24/1/2019 9:01:39 AM : 64: SS-SP002
24/1/2019 9:01:39 AM : 65: SS-SS003
24/1/2019 9:01:39 AM : 66: SP-IT003
24/1/2019 9:01:39 AM : 67: SS-BB001
24/1/2019 9:01:39 AM : 68: SS-BC003
24/1/2019 9:01:39 AM : 69: SS-CR001
24/1/2019 9:01:39 AM : 70: SP-FD005
24/1/2019 9:01:39 AM : 71: SP-GV002
24/1/2019 9:01:39 AM : 72: SP-RT002
24/1/2019 9:01:39 AM : 73: SP-RT003
24/1/2019 9:01:39 AM : 74: SS-AB004
24/1/2019 9:01:39 AM : 75: SS-SE001
24/1/2019 9:01:39 AM : 76: SS-SS004
24/1/2019 9:01:39 AM : 77: SC-SN003
24/1/2019 9:01:39 AM : 78: SP-BW002
24/1/2019 9:01:39 AM : 79: SS-MV004
24/1/2019 9:01:39 AM : 80: SS-SP003
24/1/2019 9:01:39 AM : 81: SP-GV003
24/1/2019 9:01:39 AM : 82: SP-IT004
24/1/2019 9:01:39 AM : 83: SP-NP001
24/1/2019 9:01:39 AM : 84: SP-NP002
24/1/2019 9:01:39 AM : 85: SS-BS003
24/1/2019 9:01:39 AM : 86: SS-IL001
24/1/2019 9:01:39 AM : 87: SP-FP005
24/1/2019 9:01:39 AM : 88: SS-BR003
24/1/2019 9:01:39 AM : 89: SP-BA003
24/1/2019 9:01:39 AM : 90: SP-SM001
24/1/2019 9:01:39 AM : 91: SS-BR004
24/1/2019 9:01:39 AM : 92: SC-SN004
24/1/2019 9:01:39 AM : 93: SS-IL002
24/1/2019 9:01:39 AM : 94: SP-BW003
24/1/2019 9:01:39 AM : 95: SP-BW004
24/1/2019 9:01:39 AM : 96: SP-BW005
24/1/2019 9:01:39 AM : 97: SP-BW006
24/1/2019 9:01:39 AM : 98: SC-SB003
24/1/2019 9:01:39 AM : 99: SP-BW007
24/1/2019 9:01:39 AM : 100: SP-BW008
24/1/2019 9:01:39 AM : 101: SP-BW009
24/1/2019 9:01:39 AM : 102: SP-HS001
24/1/2019 9:01:39 AM : 103: SP-IT005
24/1/2019 9:01:39 AM : 104: SP-OT002
24/1/2019 9:01:39 AM : 105: SP-FP006
24/1/2019 9:01:39 AM : 106: 
24/1/2019 9:01:39 AM : 107: SP-GV004
24/1/2019 9:01:39 AM : 108: SS-SE002
24/1/2019 9:01:39 AM : 109: SP-IT006
24/1/2019 9:01:39 AM : 110: SS-SE003
24/1/2019 9:01:39 AM : 111: SC-EB002
24/1/2019 9:01:39 AM : 112: SP-OT003
24/1/2019 9:01:39 AM : 113: 
24/1/2019 9:01:39 AM : 114: SC-SB004
24/1/2019 9:01:39 AM : 115: SP-BW010
24/1/2019 9:01:39 AM : 116: SP-FD006
24/1/2019 9:01:39 AM : 117: SP-HS002
24/1/2019 9:01:39 AM : 118: SS-AB005
24/1/2019 9:01:39 AM : 119: SS-BC004
24/1/2019 9:01:39 AM : 120: SS-BC005
24/1/2019 9:01:39 AM : 121: SS-BP004
24/1/2019 9:01:39 AM : 122: SS-BR005
24/1/2019 9:01:39 AM : 123: SS-EM001
24/1/2019 9:01:39 AM : 124: SS-SP004
24/1/2019 9:01:39 AM : 125: SP-FP007
24/1/2019 9:01:39 AM : 126: SS-BC006
24/1/2019 9:01:39 AM : 127: SS-BS004
24/1/2019 9:01:39 AM : 128: SS-SV004
24/1/2019 9:01:39 AM : 129: SP-HS003
24/1/2019 9:01:39 AM : 130: SS-SE004
24/1/2019 9:01:39 AM : 131: 
24/1/2019 9:01:39 AM : 132: SP-HC003
24/1/2019 9:01:39 AM : 133: SS-BB002
24/1/2019 9:01:39 AM : 134: SS-SP005
24/1/2019 9:01:39 AM : 135: SP-BN004
24/1/2019 9:01:39 AM : 136: SP-NP003
24/1/2019 9:01:39 AM : 137: SS-DG001
24/1/2019 9:01:39 AM : 138: SS-SE005
24/1/2019 9:01:39 AM : 139: SP-HC004
24/1/2019 9:01:39 AM : 140: SS-DG002
24/1/2019 9:01:39 AM : 141: SS-SS005
24/1/2019 9:01:39 AM : 142: SP-FP008
24/1/2019 9:01:39 AM : 143: SS-CR002
24/1/2019 9:01:39 AM : 144: SC-SB005
24/1/2019 9:01:39 AM : 145: SP-HC005
24/1/2019 9:01:39 AM : 146: SS-MV005
24/1/2019 9:01:39 AM : 147: SS-SP006
24/1/2019 9:01:39 AM : 148: SS-SE006
24/1/2019 9:01:39 AM : 149: SS-BR006
24/1/2019 9:01:39 AM : 150: SS-SS006
24/1/2019 9:01:39 AM : 151: SS-SS007
24/1/2019 9:01:39 AM : 152: SP-OT004
24/1/2019 9:01:39 AM : 153: SP-RS001
24/1/2019 9:01:39 AM : 154: SS-BP005
24/1/2019 9:01:39 AM : 155: SS-EM002
24/1/2019 9:01:39 AM : 156: SS-SE007
24/1/2019 9:01:39 AM : 157: SS-SV005
24/1/2019 9:01:39 AM : 158: SP-IT007
24/1/2019 9:01:39 AM : 159: SS-BB003
24/1/2019 9:01:39 AM : 160: SS-SV006
24/1/2019 9:01:39 AM : 161: SS-BB004
24/1/2019 9:01:39 AM : 162: SC-EB003
24/1/2019 9:01:39 AM : 163: SP-HC006
24/1/2019 9:01:39 AM : 164: SP-RT004
24/1/2019 9:01:39 AM : 165: SP-SM002
24/1/2019 9:01:39 AM : 166: SS-BC007
24/1/2019 9:01:39 AM : 167: SS-BC008
24/1/2019 9:01:39 AM : 168: SS-BS005
24/1/2019 9:01:39 AM : 169: SS-DT003
24/1/2019 9:01:39 AM : 170: SS-SE008
24/1/2019 9:01:39 AM : 171: SS-SM001
24/1/2019 9:01:39 AM : 172: SS-SV007
24/1/2019 9:01:39 AM : 173: SP-FD007
24/1/2019 9:01:39 AM : 174: SP-FP009
24/1/2019 9:01:39 AM : 175: SS-DT004
24/1/2019 9:01:39 AM : 176: SS-SP007
24/1/2019 9:01:39 AM : 177: SS-YM003
24/1/2019 9:01:39 AM : 178: SP-RT005
24/1/2019 9:01:39 AM : 179: SC-EB004
24/1/2019 9:01:39 AM : 180: SP-BW011
24/1/2019 9:01:39 AM : 181: SP-RS002
24/1/2019 9:01:39 AM : 182: SP-RS003
24/1/2019 9:01:39 AM : 183: SP-RT006
24/1/2019 9:01:39 AM : 184: SS-BB005
24/1/2019 9:01:39 AM : 185: SS-BR007
24/1/2019 9:01:39 AM : 186: SS-DG003
24/1/2019 9:01:39 AM : 187: SS-DG004
24/1/2019 9:01:39 AM : 188: SS-DT005
24/1/2019 9:01:39 AM : 189: SS-EM003
24/1/2019 9:01:39 AM : 190: SP-BW012
24/1/2019 9:01:39 AM : 191: SP-SM003
24/1/2019 9:01:39 AM : 192: SS-BC009
24/1/2019 9:01:39 AM : 193: SP-HS004
24/1/2019 9:01:39 AM : 194: SC-SB006
24/1/2019 9:01:39 AM : 195: SP-IT008
24/1/2019 9:01:39 AM : 196: SS-BU005
24/1/2019 9:01:39 AM : 197: SS-EM004
24/1/2019 9:01:39 AM : 198: SS-MV006
24/1/2019 9:01:39 AM : 199: SS-SE009
24/1/2019 9:01:39 AM : 200: SP-SM004
24/1/2019 9:01:39 AM : 201: SS-IL003
24/1/2019 9:01:39 AM : 202: SC-SN005
24/1/2019 9:01:39 AM : 203: SP-CE001
24/1/2019 9:01:39 AM : 204: SP-FP010
24/1/2019 9:01:39 AM : 205: SP-HC007
24/1/2019 9:01:39 AM : 206: SS-YM004
24/1/2019 9:01:39 AM : 207: SP-HS005
24/1/2019 9:01:39 AM : 208: SS-SE010
24/1/2019 9:01:39 AM : 209: SS-SS008
24/1/2019 9:01:39 AM : 210: SP-AU003
24/1/2019 9:01:39 AM : 211: SS-BP006
24/1/2019 9:01:39 AM : 212: SP-FP011
24/1/2019 9:01:39 AM : 213: SP-HC008
24/1/2019 9:01:39 AM : 214: SP-HS006
24/1/2019 9:01:39 AM : 215: SS-BB006
24/1/2019 9:01:39 AM : 216: SS-BB007
24/1/2019 9:01:39 AM : 217: SS-DG005
24/1/2019 9:01:39 AM : 218: SS-DG006
24/1/2019 9:01:39 AM : 219: SS-SE011
24/1/2019 9:01:39 AM : 220: SP-NP004
24/1/2019 9:01:39 AM : 221: SP-RT007
